,,,,,,,,,,,,,
,,COLD CALLS MADE,FOLLOW-UP CALLS,"EMAILS
SENT",MEETINGS ARRANGED,VISITS COMPLETED,LEADS GENERATED,"DEALS
CLOSED",PRODUCTS SOLD,"SALES
REVENUE","TARGET
AMOUNT",VARIANCE,NOTES
,MON,48,22,85,11,8,16,2,485,"$218,250","$220,000","$(1,750.00)",Close to target
,TUES,52,25,92,12,9,18,3,645,"$290,250","$220,000","$70,250.00",New tech startup clients
,WED,55,26,98,13,10,20,4,825,"$371,250","$220,000","$151,250.00",Excellent day with enterprise clients
,THURS,50,24,88,11,8,16,3,585,"$263,250","$220,000","$43,250.00",
,FRI,45,21,80,10,7,14,2,425,"$191,250","$220,000","$(28,750.00)",
,SAT,25,12,40,5,3,6,1,215,"$96,750","$100,000","$(3,250.00)",Innovation conference
,SUN,12,5,22,2,1,3,0,0,"$0","$0","$0.00",Client dinner meeting
,TOTALS,287,135,505,64,46,93,15,3180,"$1,431,000","$1,200,000","$231,000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,REGIONAL SUMMARY,,,,,,,,,,,
,,,,,,,,,,,,,
,,REGION,COLD CALLS MADE,FOLLOW-UP CALLS,"EMAILS
SENT",MEETINGS ARRANGED,VISITS COMPLETED,LEADS GENERATED,"DEALS
CLOSED",PRODUCTS SOLD,"SALES
REVENUE","TARGET
AMOUNT",VARIANCE
,,Northeast,200,117,430,48,30,57,13,2326,"$983,750","$1,000,000","$(16,250.00)"
,,Southeast,245,106,432,47,31,59,13,2353,"$1,066,300","$950,000","$116,300.00"
,,Midwest,236,104,410,49,32,64,10,1745,"$734,350","$640,000","$94,350.00"
,,Southwest,300,140,533,67,47,97,18,3700,"$1,665,000","$1,600,000","$65,000.00"
,,West Coast,287,135,505,64,46,93,15,3180,"$1,431,000","$1,200,000","$231,000.00"
,,COMPANY TOTALS,1268,602,2310,275,186,370,69,13304,"$5,880,400","$5,390,000","$490,400.00"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,PRODUCT BREAKDOWN,,,,,,,,,,,
,,,,,,,,,,,,,
,,PRODUCT CATEGORY,UNITS SOLD,REVENUE,AVG UNIT PRICE,% OF TOTAL SALES,,,,,,,
,,Enterprise Solutions,4250,"$2,125,000","$500.00",36.1%,,,,,,,
,,Mid-Market Solutions,3825,"$1,530,000","$400.00",26.0%,,,,,,,
,,Small Business Package,2964,"$890,000","$300.25",15.1%,,,,,,,
,,Starter Kits,2265,"$735,400","$324.68",12.5%,,,,,,,
,,Add-on Services,0,"$600,000",n/a,10.2%,,,,,,,
,,TOTALS,13304,"$5,880,400",,100.0%,,,,,,,
